,time,[X],[Y]
0,0.0,1.03966059981,0.871554737402
1,0.1,1.02717838108,0.625772672636
2,0.2,1.33942517685,0.490172381151
3,0.3,1.19849916281,0.261650658835
4,0.4,1.29793678808,0.16117109871
5,0.5,1.69987408408,0.142892048125
6,0.6,1.73561977711,0.0921267549615
7,0.7,1.75259543402,0.070621584334
8,0.8,2.28583144304,0.0557703891655
9,0.9,2.41097331119,0.0386855521139
10,1.0,3.15384718248,0.0250073945772
11,1.1,2.64737460596,0.0191155053036
12,1.2,3.63963536295,0.0189513255877
13,1.3,3.60553169063,0.0122530807481
14,1.4,5.69095124997,0.01201419986
15,1.5,5.14025404853,0.00804863138077
16,1.6,4.50991098503,0.00946447015181
17,1.7,7.50411814363,0.00893371300348
18,1.8,7.93379940168,0.00922461269012
19,1.9,8.95819419495,0.012482715755
20,2.0,9.21304802818,0.0134646073488
21,2.1,10.5497940476,0.0159967311379
22,2.2,13.4511489722,0.0367602366586
23,2.3,15.3423043073,0.0470283444744
24,2.4,16.3352667433,0.0958118204528
25,2.5,16.0289784486,0.196266882735
26,2.6,16.1374587155,0.378096160667
27,2.7,18.6707559334,1.47117105812
28,2.8,17.8075956135,4.12023139715
29,2.9,11.9555724109,10.3179863486
30,3.0,7.32219219809,10.6438249342
31,3.1,3.14121618661,11.8291379873
32,3.2,1.97821636356,7.58155059444
33,3.3,1.20387966477,5.8779169677
34,3.4,1.19494179712,4.02359822253
35,3.5,1.05658675417,2.31018790139
36,3.6,0.914148958348,1.6857319992
37,3.7,0.911356812706,1.01676676743
38,3.8,1.23437420236,0.694506036729
39,3.9,1.26564051614,0.523946242329
40,4.0,1.22513880774,0.292297887468
41,4.1,1.58238470557,0.200296373623
42,4.2,1.5292904099,0.140482138902
43,4.3,1.98115262645,0.0985024781432
44,4.4,1.67733656368,0.07486109151
45,4.5,1.59195564193,0.0493200481318
46,4.6,2.58667969626,0.0318612374365
47,4.7,2.73403683646,0.0275040596346
48,4.8,3.46640905049,0.0156607580457
49,4.9,3.81194154552,0.0186595685089
50,5.0,4.10127845195,0.0128339373842
51,5.1,4.39026027036,0.0142691039761
52,5.2,4.38687229502,0.0103655754643
53,5.3,6.17251907932,0.0109118323563
54,5.4,6.44749858611,0.00908213193277
55,5.5,6.54355618127,0.00823030906812
56,5.6,8.61409850766,0.0111711183665
57,5.7,8.81117211592,0.0174655600064
58,5.8,12.2714445496,0.0175518807076
59,5.9,10.4268119837,0.0318619250089
60,6.0,13.6462189291,0.0390241664034
61,6.1,13.4329674748,0.0805001681965
62,6.2,16.4542215117,0.216080599234
63,6.3,17.6622423143,0.547722027344
64,6.4,24.2936681135,1.34686685419
65,6.5,16.2977319227,3.72214342244
66,6.6,11.7712759449,8.89090148857
67,6.7,6.76674861787,10.5653588589
68,6.8,3.14258171738,10.7894064786
69,6.9,2.08950623169,6.34486037045
70,7.0,1.10952157959,5.22126733336
71,7.1,1.10734608621,3.54746855567
72,7.2,1.09198653315,2.12019226235
73,7.3,1.04930972549,1.51331968791
74,7.4,0.682698495546,1.0220952201
75,7.5,1.16198882374,0.612836193016
76,7.6,1.13539398644,0.49342620488
77,7.7,1.29273473958,0.282598386617
78,7.8,1.41968776079,0.226797456391
79,7.9,1.6817621734,0.143900129027
80,8.0,1.89715625517,0.0841558391708
81,8.1,1.62105027297,0.0702257846735
82,8.2,2.19350062302,0.0535633540174
83,8.3,2.77499385584,0.0394640957196
84,8.4,2.66103181672,0.0237505526223
85,8.5,3.46221590921,0.0232557934626
86,8.6,3.9648853316,0.0183456004739
87,8.7,3.99217066239,0.0141682767453
88,8.8,4.9056440814,0.00997196998877
89,8.9,4.37776233997,0.011312957351
90,9.0,5.82132929176,0.00970611325099
91,9.1,6.50363066361,0.0092907421041
92,9.2,7.73452729267,0.00981319841152
93,9.3,9.24576419453,0.0109744733146
94,9.4,9.03355043249,0.0127547994869
95,9.5,9.88384254895,0.0243688948167
96,9.6,11.2867127689,0.0262233678059
97,9.7,17.1365519356,0.0523430340586
98,9.8,15.5289280437,0.0838346175005
99,9.9,16.5432662126,0.178518554032
100,10.0,20.0408773138,0.480776295734
